"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0.00112126374037392,-1.3002475145455,0.741,0.852,1,"MIRLET7BHG"
0.00114207007557564,1.17645630527402,0.63,0.691,1,"PAFAH2"
0.00117426295109129,-1.75943661621553,0.296,0.481,1,"HMGCLL1"
0.00123398722311747,0.725909772111168,0.593,0.247,1,"FOXP2"
0.00123692489365947,0.942412468308977,0.889,0.494,1,"MPPED1"
0.00127199296638929,-1.56757078634868,0.222,0.568,1,"MAN2A1"
0.00133923077009714,0.786719616292999,1,0.827,1,"NBPF10"
0.00137423579051818,1.00538369365288,0.889,0.543,1,"FGF12"
0.00139038239848532,1.47758516945227,0.593,0.235,1,"MID1IP1"
0.00145199687296176,0.838773324793461,0.889,0.444,1,"ETFDH"
0.00149672787471867,1.15979280239437,0.889,0.642,1,"RASA4"
0.0015409436368691,0.730797712372402,0.815,0.58,1,"ZNF384"
0.00154550366643445,0.685831548615321,0.963,0.852,1,"FGFR1"
0.00161755251352972,1.10199174901881,0.667,0.481,1,"ADHFE1"
0.00162878897178662,-3.15121015803247,0.074,0.37,1,"IL13RA1"
0.00165524642186557,0.914437328575838,0.963,0.654,1,"GPR56"
0.00166152147770316,2.12241217087182,0.481,0.136,1,"BBOX1"
0.00166589491078867,-1.93500465007037,0.222,0.481,1,"SPEF2"
0.0016953695549798,0.879327623157771,0.926,0.568,1,"MLC1"
0.00171564706996326,0.546118615521276,0.963,0.63,1,"DDX47"
0.00177152353088121,0.527210096483454,1,0.938,1,"SLC1A3"
0.00178406746997843,0.636757618891269,1,0.84,1,"ABR"
0.00178551082189107,0.883547696457594,0.926,0.58,1,"ACP1"
0.0017934366642885,1.5740824832118,0.593,0.16,1,"CDC14A"
0.00182108388949205,-1.77345651501178,0.148,0.42,1,"SPIRE2"
0.00190636465135151,0.718477747877056,0.963,0.901,1,"DHTKD1"
0.00192009282881621,0.626580382390595,1,0.716,1,"CSRP1"
0.00193400158001402,1.12151408351733,0.926,0.654,1,"NBPF9"
0.00193713629409048,-1.66498745069028,0.333,0.654,1,"FAM222A"
0.00194634752850026,1.08162304624683,0.852,0.457,1,"PDPK1"
0.00197757281152072,-2.16547922120118,0.074,0.346,1,"AFAP1L2"
0.00200143834460675,-2.75073667085509,0.037,0.346,1,"RERG"
