"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0.00697875431627393,1.39931552343638,0.311,0.098,1,"LDLRAD3"
0.00699596784363506,1.15342743830749,0.475,0.213,1,"YPEL2"
0.00701458996287544,0.589311520622373,0.377,0.175,1,"CCDC22"
0.00722105241050795,1.72788671131367,0.295,0.164,1,"MAGOHB"
0.00732849868956563,0.962756917531648,0.738,0.667,1,"CDC40"
0.00735815041962615,-0.75213033702558,0.885,0.863,1,"S1PR2"
0.00738613157205353,1.2012605808187,0.459,0.224,1,"UBE2D1"
0.00755120756818809,0.655781496525915,0.902,0.82,1,"CCNDBP1"
0.00755639916906009,0.958872453984511,0.377,0.399,1,"KRIT1"
0.00757291434197607,1.30576133428255,0.41,0.23,1,"GORASP1"
0.00759788620087216,0.555286410048162,0.705,0.426,1,"RASSF5"
0.00760876446959525,1.48443568210158,0.328,0.153,1,"CLEC12A"
0.00766008295528546,1.06423345986046,0.607,0.339,1,"MAN2A2"
0.00767185282583245,0.604350700880016,0.82,0.574,1,"ANXA2"
0.00778538847619787,0.508698442885653,0.754,0.497,1,"S100A4"
0.0080153077494675,0.773774206404058,0.623,0.475,1,"DDX21"
0.00805399774526652,-1.09838688404284,0.23,0.377,1,"MTHFD1L"
0.00841916168120282,-1.42099888540401,0.148,0.279,1,"VMO1"
0.00849268292672043,1.00100352695149,0.492,0.301,1,"EFHD2"
0.00863868142196656,-1.72969221110988,0.148,0.301,1,"ACAD11"
0.00865538337721158,0.909156404246184,0.869,0.781,1,"FCAR"
0.00919462834319086,0.879355450497411,0.557,0.328,1,"RAC2"
0.00926007933389985,1.18362519687303,0.295,0.12,1,"LRRC40"
0.00947943924752779,0.701214038219054,0.754,0.557,1,"NCF2"
0.0097587561434832,0.886337457458014,0.377,0.158,1,"CCDC94"
0.00988751892894506,0.882474444410985,0.721,0.645,1,"AHR"
0.00997238319087213,1.88813182039643,0.279,0.131,1,"PIPSL"
0.0100231346550499,0.705160502838917,0.77,0.585,1,"CD55"
0.0100572936069851,-0.831914264366047,0.098,0.262,1,"FLJ38109"
0.0103698876431704,-1.05921761197854,0.328,0.421,1,"LMF2"
0.0104982023020774,0.696549708809409,0.754,0.514,1,"MVP"
0.0105646502736851,-1.14927043929435,0.18,0.355,1,"TEKT4P2"
0.0106364806793025,-0.518565667282823,0.475,0.634,1,"PDE11A"
0.0106939243101044,-0.527890966203218,0.59,0.738,1,"C3orf72"
0.010723583577507,1.2128972659021,0.426,0.191,1,"TMEM18"
0.010726427121011,-1.17577457632177,0.311,0.486,1,"BDH1"
0.0107427218408499,0.515848422646874,0.705,0.448,1,"CALCOCO2"
0.0107956814387387,0.86631628617996,0.426,0.306,1,"SNX20"
0.0112732345446942,0.656457441577362,0.689,0.514,1,"PLBD1"
0.0112889818942181,0.531035789067202,0.557,0.328,1,"PET100"
0.0114721174672146,0.5293236031966,0.82,0.563,1,"GUK1"
0.0115396842316462,1.37400097518455,0.443,0.23,1,"CDT1"
0.0117205317672461,0.893042294676909,0.361,0.148,1,"SETDB2"
0.0120244216925638,-0.511621908181956,0.525,0.678,1,"FLJ31662"
0.012124739896798,0.564258489988203,0.738,0.831,1,"ZNF160"
0.0122000259693707,0.563898345991363,0.557,0.306,1,"NCOA2"
0.0122904417608746,-0.763115728634323,0.328,0.284,1,"MYSM1"
0.0124227469717182,0.579249165420736,0.803,0.563,1,"PGD"
0.0126602574670294,-0.944373227164097,0.295,0.284,1,"UBE2G1"
0.0127628474261423,1.13515607488589,0.541,0.393,1,"CNN2"
0.0128551250396571,0.533443635481493,0.951,0.82,1,"LILRB3"
0.0129199224295,1.13758474770796,0.344,0.131,1,"ATG4C"
0.0130224865452695,0.830736846536021,0.754,0.699,1,"INIP"
0.0131554864534227,1.59584584266243,0.328,0.251,1,"ZNF761"
0.0131878181179258,0.853098739873265,0.607,0.399,1,"GAB3"
0.0132504002796955,-0.760174707225441,0.721,0.842,1,"DHTKD1"
0.0133432611441592,0.690342968680661,0.721,0.448,1,"TMEM123"
0.0134763841416056,1.05766302724212,0.426,0.202,1,"IL1RN"
0.0134819805544375,1.3625068688773,0.262,0.208,1,"ZFP90"
0.0134947390605572,0.857211212246187,0.59,0.355,1,"AZI2"
0.0135430911500407,-0.820862516278192,0.164,0.339,1,"LOC100128675"
0.0138171678693976,1.18962402335399,0.344,0.142,1,"MSRB1"
0.0138717578430926,-0.840725913137658,0.426,0.426,1,"BMS1"
0.0139589067053216,1.16279263586436,0.377,0.169,1,"AMICA1"
0.0141367118072021,0.847029205906314,0.426,0.344,1,"CUL1"
0.0142412604170419,1.08322136831101,0.295,0.115,1,"EEF1E1"
0.0143175334453888,0.700159808783658,0.787,0.738,1,"OGDH"
0.0144477924688207,0.54958167233114,0.902,0.787,1,"ZFAND5"
0.0145178598772791,-0.711976363719164,0.164,0.295,1,"DFNA5"
0.0145539826346508,-0.679840816778719,0.311,0.344,1,"TMEM9"
0.0145681824418084,-0.57064369304633,0.754,0.858,1,"NLRC3"
0.0147048399249709,0.812313340626481,0.705,0.464,1,"CD97"
0.014754582418481,0.887998148577359,0.426,0.197,1,"LACTB"
0.0148565190927133,0.639156141711818,0.672,0.475,1,"GCA"
0.0148654301891112,-1.58688156911786,0.164,0.284,1,"DTNA"
0.0148916448087446,0.535729715666051,0.705,0.743,1,"RNF141"
0.015007846692062,-0.56032951489362,0.361,0.525,1,"RHBDL2"
0.0150562638431427,-0.811885394650725,0.279,0.311,1,"NUPR1"
0.0150607652478754,1.63746231030244,0.311,0.126,1,"RFK"
0.0152549434469552,1.55761848107466,0.361,0.186,1,"LILRA3"
0.0153277539592508,1.12870131122204,0.41,0.295,1,"DPH3P1"
0.0156828193666925,1.07078722586982,0.443,0.279,1,"RGS18"
0.0157214299417407,-1.93456999053168,0.574,0.65,1,"ZNF260"
0.0157751126809772,-0.94804771147141,0.328,0.41,1,"SYVN1"
0.0158126415545226,-0.970547117117569,0.311,0.262,1,"KCNQ1"
0.0158728700559429,-0.647817326613796,0.623,0.754,1,"DAGLB"
0.0160130029635651,-1.056220084946,0.262,0.437,1,"SLCO1A2"
0.0160451682641039,0.873791918381143,0.541,0.322,1,"OAT"
0.0160578496723165,-1.12824334362768,0.213,0.377,1,"NT5C"
0.0161576898259353,1.00986549059275,0.508,0.279,1,"DENND1A"
0.0162136304783901,0.546896248557871,0.574,0.333,1,"TMEM167A"
0.016378541219416,-1.09924584096233,0.279,0.393,1,"ANKRD52"
0.0163890484323796,1.09873131503446,0.459,0.257,1,"BRE-AS1"
0.0164860157834983,0.711089959313855,0.426,0.503,1,"SLC4A1"
