"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
7.41951099578237e-16,-1.10128770150515,0.491,0.568,1.80160565999588e-11,"P4HA1"
7.97685399381361e-16,0.88196701106077,0.388,0.17,1.93693968677782e-11,"CLEC12A"
2.01185231801163e-15,-1.4508309081558,0.243,0.39,4.88517979859584e-11,"ANGPTL4"
7.06179312057622e-15,1.00308654383995,0.496,0.25,1.71474460553832e-10,"JAML"
8.15877010539497e-15,0.751017899430963,0.658,0.405,1.98111255699201e-10,"CD48"
2.51732824694701e-14,-1.271425448534,0.39,0.474,6.11257644923673e-10,"SDC2"
1.55312702686886e-13,0.966899125726239,0.448,0.213,3.77130304664297e-09,"AOAH"
2.71931404931191e-13,-0.719340911585653,0.857,0.847,6.60303837453917e-09,"CSTB"
4.87675524837522e-13,-1.3682270944292,0.396,0.417,1.18417370941047e-08,"LMAN1"
5.21306230795061e-13,0.621384105825469,0.792,0.549,1.26583578961657e-08,"CORO1A"
9.10929470440816e-13,0.638065962674815,0.732,0.477,2.21191894012439e-08,"VSIR"
1.34115076205418e-12,0.540787681977669,0.9,0.686,3.25658228041997e-08,"SERPINA1"
1.38785207564313e-12,0.921081157197313,0.493,0.263,3.36998241007664e-08,"PLBD1"
1.65999219197231e-12,-0.702313821266159,0.374,0.416,4.03079304054717e-08,"NRP1"
2.66340259053903e-12,-0.692989820349444,0.545,0.603,6.46727417034687e-08,"ABCA1"
8.28338525637934e-12,0.890676859591394,0.409,0.214,2.01137160795403e-07,"ICAM3"
9.96861497737575e-12,-0.924369272137375,0.506,0.557,2.42057908880638e-07,"ERO1A"
1.60740697932886e-11,0.677116493545834,0.558,0.314,3.90310562720633e-07,"ADA2"
2.15514804421703e-11,0.677340064719862,0.5,0.298,5.23313048096779e-07,"CFP"
4.80010838504692e-11,-1.09634306996635,0.206,0.304,1.16556231805709e-06,"TNS1"
5.12774473513662e-11,0.58235529328642,0.866,0.665,1.24511897658587e-06,"TKT"
5.86709101308127e-11,0.532496464149555,0.797,0.576,1.42464703979639e-06,"CHD1"
7.85872454193616e-11,-0.518317691225784,0.814,0.739,1.90825549327294e-06,"SEC61G"
8.93385175366146e-11,-0.952363087748309,0.26,0.328,2.16931788282407e-06,"FLNB"
1.5942533333457e-10,0.546457934321785,0.823,0.656,3.87116594403003e-06,"AREG"
1.63735740727539e-10,0.830623949769515,0.481,0.242,3.9758312563461e-06,"CNN2"
1.66113226212284e-10,0.953667318666321,0.401,0.196,4.03356135888668e-06,"LIMD2"
2.35570497920804e-10,1.06358240517217,0.331,0.162,5.72012283051296e-06,"NRGN"
2.72610005674924e-10,-0.884225104960644,0.978,0.983,6.61951615779851e-06,"CXCL8"
3.50815560960914e-10,0.569983504358132,0.797,0.573,8.51850345125292e-06,"SMAP2"
5.7085701926271e-10,0.790530573017614,0.441,0.234,1.38615501417371e-05,"CCDC69"
5.83999639555734e-10,-1.17633922058906,0.329,0.394,1.41806792476923e-05,"BNIP3"
6.31082609702542e-10,0.51628710676872,0.766,0.54,1.53239479287971e-05,"CSRNP1"
9.06005513668913e-10,0.683837855117217,0.704,0.449,2.19996258829086e-05,"CPVL"
1.4829109444622e-09,0.539047155837704,0.976,0.875,3.60080435534311e-05,"CD74"
2.00206429955758e-09,-1.04242582751746,0.23,0.304,4.8614125321857e-05,"CDCP1"
2.09633443005341e-09,0.719583137134065,0.515,0.289,5.09031926305569e-05,"RASSF5"
2.25923299258526e-09,0.507200136301481,0.625,0.403,5.48586955259553e-05,"PURB"
3.42655641026797e-09,-0.519878622032263,0.81,0.82,8.32036427541269e-05,"JUN"
4.66708352836404e-09,0.544023584098324,0.626,0.407,0.000113326122235736,"GCA"
4.71497964568308e-09,-0.589824529734771,0.825,0.775,0.000114489135756477,"HSP90B1"
