"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
4.7139664321689e-08,0.876982481620701,0.838,0.448,0.00114464532905925,"IGSF6"
5.69586557985753e-08,1.74055991748752,0.366,0.108,0.001383070080101,"VCL"
6.57674165983984e-08,0.81356602022024,0.958,0.742,0.00159696440984231,"LDHA"
7.96775240101932e-08,1.03383680915475,0.803,0.446,0.00193472963801551,"CSF2RA"
8.08887773249847e-08,1.13757221541778,0.704,0.322,0.00196414129100528,"ALOX5"
1.17717655659932e-07,0.70092664241888,0.951,0.641,0.00285842011473447,"CTSH"
1.26689676449306e-07,0.80688834266753,0.951,0.7,0.00307627872354206,"GPR183"
1.46863325954477e-07,0.621031859042348,1,0.946,0.0035661352808266,"SRGN"
1.51770912278398e-07,0.645838271924311,0.951,0.911,0.00368530129194406,"CXCL8"
1.75516060209871e-07,0.959074562469923,0.599,0.289,0.00426188097401609,"SAP30"
1.84909324772195e-07,-3.9160698626074,0.028,0.261,0.00448996822411844,"MZB1"
1.89414328728312e-07,0.968927606764221,0.711,0.352,0.00459935873018088,"PLAC8"
1.90791572634385e-07,2.02635124035321,0.352,0.108,0.00463280096670815,"FPR3"
1.96158801714539e-07,2.34324445390841,0.282,0.059,0.00476312802323243,"CD300LB"
2.13045102510515e-07,0.869917058746506,0.88,0.563,0.00517316117916032,"ANXA2"
2.30105182308017e-07,0.961893861708447,0.915,0.573,0.00558741403680327,"PPA1"
2.60521443353431e-07,1.05258225231618,0.761,0.46,0.00632598168750801,"TET2"
2.6394768138336e-07,1.17587945042993,0.824,0.465,0.00640917759935075,"SLC8A1"
2.69204487147996e-07,-3.60822053380344,0.063,0.275,0.00653682335692764,"DERL3"
2.74889877438606e-07,1.49274097435125,0.556,0.27,0.00667487600396422,"B3GNT5"
2.96547496068368e-07,0.841173505713333,0.951,0.714,0.00720076629953212,"HCLS1"
3.00733542199451e-07,0.767328130110647,0.915,0.66,0.00730241187168707,"MSN"
3.76281081547854e-07,0.679462361402172,0.887,0.582,0.00913685722214499,"CD44"
4.24187613618004e-07,0.854006109517887,0.866,0.5,0.0103001236338724,"CXCL16"
4.61600426045742e-07,0.526483383570284,0.873,0.498,0.0112085815452427,"FGL2"
4.65839073620563e-07,1.39641761029931,0.401,0.138,0.0113115043856545,"ADAM8"
5.74638022990304e-07,1.2566743453394,0.838,0.514,0.0139533604742506,"ARL4C"
5.83787777446211e-07,0.882163648909208,0.803,0.491,0.0141755348119489,"KLF4"
6.05167270772738e-07,2.4746742191655,0.254,0.068,0.0146946716689036,"SDC2"
6.4259153919042e-07,1.24999453352971,0.451,0.162,0.0156034077546218,"DOK2"
6.57821357695697e-07,1.19969956235883,0.711,0.392,0.0159732182075669,"PEA15"
8.34385405142469e-07,-1.72350827451266,0.282,0.437,0.0202605464076694,"GYPC"
8.55842314091168e-07,-2.07462967044473,0.127,0.272,0.0207815630707617,"CXXC5"
9.32809035600344e-07,0.670983801650348,0.873,0.622,0.0226504690024476,"PHACTR1"
9.99533322140988e-07,2.19009044592527,0.261,0.063,0.0242706681282275,"GALNT3"
1.02777001564525e-06,0.533331158352928,1,0.885,0.0249563115198979,"YBX1"
1.03178583661975e-06,0.617083466325283,0.648,0.305,0.0250538236848007,"CSTA"
1.07568577908002e-06,0.675794070977517,0.979,0.765,0.026119802087621,"HLA-DMA"
