"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050729","positive regulation of inflammatory response","8/123","152/18870",6.9404641640991e-06,0.000382819366588468,0.00032722973663072,"S100A9/S100A8/LGALS2/S100A12/OSM/CASP1/LRRK2/NAIP",8
"GO:0002695","negative regulation of leukocyte activation","9/123","202/18870",7.09654850524452e-06,0.000382819366588468,0.00032722973663072,"MNDA/RIPOR2/FGL2/VSIR/CD74/RASSF5/SPI1/CD300LF/HLA-DRB1",9
"GO:0045655","regulation of monocyte differentiation","4/123","20/18870",7.68188155909615e-06,0.00040319497264229,0.000344646578056746,"CD74/HLA-DRB1/CD4/FES",4
"GO:1902105","regulation of leukocyte differentiation","11/123","321/18870",8.24538986709575e-06,0.000421382818997367,0.000360193346825762,"FGL2/VSIR/CD74/SPI1/HLA-DRA/HLA-DRB1/CD4/TMEM176A/NFAM1/TMEM176B/FES",11
"GO:0050765","negative regulation of phagocytosis","4/123","21/18870",9.44162826767524e-06,0.000470144669123726,0.000401874433957459,"CNN2/CD300LF/ATG3/CSK",4
"GO:0002757","immune response-activating signaling pathway","13/123","473/18870",1.31037742844002e-05,0.00063618824150763,0.000543806632802608,"FCN1/CTSS/MNDA/CD300LF/CASP1/FYB1/HLA-DRB1/NAIP/PAK1/NFAM1/HLA-DPB1/PRAM1/CSK",13
"GO:0050866","negative regulation of cell activation","9/123","223/18870",1.56856821087938e-05,0.000742965723299454,0.000635078836599945,"MNDA/RIPOR2/FGL2/VSIR/CD74/RASSF5/SPI1/CD300LF/HLA-DRB1",9
"GO:1903902","positive regulation of viral life cycle","4/123","24/18870",1.6511311726519e-05,0.000763451604116662,0.000652589939667178,"CD74/VPS37B/HLA-DRB1/CD4",4
"GO:1903706","regulation of hemopoiesis","12/123","417/18870",1.8265467576261e-05,0.000824919489141835,0.000705132004106821,"FGL2/VSIR/CD74/PURB/SPI1/HLA-DRA/HLA-DRB1/CD4/TMEM176A/NFAM1/TMEM176B/FES",12
"GO:1990266","neutrophil migration","7/123","129/18870",2.18060906136855e-05,0.000962441544813119,0.000822684327698135,"S100A9/S100A8/S100A12/RIPOR2/JAML/CD74/BST1",7
"GO:0071621","granulocyte chemotaxis","7/123","130/18870",2.29237535511539e-05,0.000989287319918685,0.000845631797664788,"S100A9/S100A8/S100A12/RIPOR2/JAML/CD74/BST1",7
"GO:0002764","immune response-regulating signaling pathway","13/123","500/18870",2.34738528870222e-05,0.000991004832752111,0.000847099908531671,"FCN1/CTSS/MNDA/CD300LF/CASP1/FYB1/HLA-DRB1/NAIP/PAK1/NFAM1/HLA-DPB1/PRAM1/CSK",13
"GO:0006909","phagocytosis","9/123","237/18870",2.53908115220342e-05,0.00104912672288916,0.000896781853756952,"FCN1/CORO1A/ICAM3/CFP/CNN2/CD300LF/PAK1/ATG3/CSK",9
"GO:0030595","leukocyte chemotaxis","9/123","240/18870",2.80287259837407e-05,0.00113399553875884,0.000969326773604367,"S100A9/S100A8/S100A12/RIPOR2/JAML/CORO1A/CD74/SPI1/BST1",9
"GO:0097529","myeloid leukocyte migration","9/123","242/18870",2.99136517343857e-05,0.00118555738098321,0.00101340126283837,"S100A9/S100A8/S100A12/RIPOR2/JAML/CNN2/CD74/SPI1/BST1",9
"GO:0050832","defense response to fungus","5/123","56/18870",3.17504730145561e-05,0.00123318837188536,0.00105411570408326,"S100A9/S100A8/S100A12/SPI1/CLEC4A",5
"GO:0050671","positive regulation of lymphocyte proliferation","7/123","145/18870",4.62182395877103e-05,0.00175991806430065,0.00150435838658037,"CORO1A/CD74/TNFSF13B/HLA-DMB/BST1/HLA-DPB1/CCDC88B",7
"GO:0050764","regulation of phagocytosis","6/123","100/18870",4.90641268231784e-05,0.00183235642866563,0.00156627789473993,"FCN1/CFP/CNN2/CD300LF/ATG3/CSK",6
"GO:0032946","positive regulation of mononuclear cell proliferation","7/123","148/18870",5.26500360804572e-05,0.00192917679374053,0.00164903886591621,"CORO1A/CD74/TNFSF13B/HLA-DMB/BST1/HLA-DPB1/CCDC88B",7
"GO:0006935","chemotaxis","12/123","468/18870",5.61535254806243e-05,0.00197554596289415,0.00168867471596513,"S100A9/S100A8/S100A4/S100A12/RIPOR2/JAML/CORO1A/CD74/SPI1/FES/BST1/NRG1",12
"GO:0043380","regulation of memory T cell differentiation","3/123","12/18870",5.69583494960573e-05,0.00197554596289415,0.00168867471596513,"FGL2/HLA-DRA/HLA-DRB1",3
"GO:0050900","leukocyte migration","11/123","396/18870",5.69673398156912e-05,0.00197554596289415,0.00168867471596513,"S100A9/S100A8/S100A12/RIPOR2/JAML/CORO1A/CNN2/CD74/SPI1/ITGA4/BST1",11
"GO:0042330","taxis","12/123","470/18870",5.84942377947213e-05,0.00199290894381314,0.00170351639893399,"S100A9/S100A8/S100A4/S100A12/RIPOR2/JAML/CORO1A/CD74/SPI1/FES/BST1/NRG1",12
"GO:0043122","regulation of canonical NF-kappaB signal transduction","9/123","265/18870",6.0560217995746e-05,0.00201095522336123,0.00171894215797098,"S100A4/S100A12/CD74/CASP1/HLA-DRB1/CD4/TNFSF10/SECTM1/MAP3K3",9
"GO:0042742","defense response to bacterium","10/123","330/18870",6.10949321206552e-05,0.00201095522336123,0.00171894215797098,"S100A9/LYZ/S100A8/S100A12/MPEG1/CFP/PLAC8/CASP1/CD4/NAIP",10
"GO:0097530","granulocyte migration","7/123","156/18870",7.34635428499501e-05,0.00234611188350716,0.00200543034326565,"S100A9/S100A8/S100A12/RIPOR2/JAML/CD74/BST1",7
"GO:0043379","memory T cell differentiation","3/123","13/18870",7.36935246621714e-05,0.00234611188350716,0.00200543034326565,"FGL2/HLA-DRA/HLA-DRB1",3
"GO:0009620","response to fungus","5/123","67/18870",7.5816969780164e-05,0.00237277122079956,0.00202821844826327,"S100A9/S100A8/S100A12/SPI1/CLEC4A",5
"GO:0030224","monocyte differentiation","4/123","35/18870",7.69745555666181e-05,0.00237277122079956,0.00202821844826327,"CD74/HLA-DRB1/CD4/FES",4
"GO:0042098","T cell proliferation","8/123","213/18870",7.83385300057544e-05,0.00237708476986211,0.00203190562202426,"CORO1A/VSIR/TNFSF13B/HLA-DMB/HLA-DRB1/CCND3/HLA-DPB1/CCDC88B",8
"GO:0046598","positive regulation of viral entry into host cell","3/123","14/18870",9.33455984140799e-05,0.00270562913612154,0.00231274169205034,"CD74/HLA-DRB1/CD4",3
"GO:0075294","positive regulation by symbiont of entry into host","3/123","14/18870",9.33455984140799e-05,0.00270562913612154,0.00231274169205034,"CD74/HLA-DRB1/CD4",3
"GO:0090715","immunological memory formation process","3/123","14/18870",9.33455984140799e-05,0.00270562913612154,0.00231274169205034,"FGL2/HLA-DRA/HLA-DRB1",3
"GO:0050727","regulation of inflammatory response","11/123","425/18870",0.00010681033954032,0.00305037763804855,0.0026074288770137,"S100A9/S100A8/LGALS2/S100A12/AOAH/OSM/CASP1/LRRK2/HLA-DRB1/NAIP/BST1",11
"GO:0070665","positive regulation of leukocyte proliferation","7/123","166/18870",0.000108470637928659,0.00305289824431095,0.00260958346321121,"CORO1A/CD74/TNFSF13B/HLA-DMB/BST1/HLA-DPB1/CCDC88B",7
"GO:0030098","lymphocyte differentiation","11/123","429/18870",0.000115985874516099,0.00321777954728948,0.00275052216709605,"FGL2/VSIR/CD74/TNFSF13B/SPI1/HLA-DRA/HLA-DRB1/CD4/NFAM1/ITGA4/IKZF1",11
"GO:0051250","negative regulation of lymphocyte activation","7/123","169/18870",0.000121279439011468,0.00331724888113058,0.00283554744731038,"MNDA/RIPOR2/FGL2/VSIR/CD74/RASSF5/HLA-DRB1",7
"GO:0002833","positive regulation of response to biotic stimulus","10/123","369/18870",0.000153166157919854,0.00413123164833828,0.00353133086315219,"FCN1/CTSS/MNDA/SPI1/CD300LF/CASP1/HLA-DRB1/NAIP/PAK1/LY86",10
"GO:0007249","canonical NF-kappaB signal transduction","9/123","300/18870",0.000155427803571926,0.00413480540461205,0.00353438567026571,"S100A4/S100A12/CD74/CASP1/HLA-DRB1/CD4/TNFSF10/SECTM1/MAP3K3",9
"GO:0002366","leukocyte activation involved in immune response","9/123","301/18870",0.000159350897856516,0.00418188437347777,0.00357462824921374,"FGL2/CORO1A/CD74/SPI1/HLA-DRA/HLA-DMB/HLA-DRB1/FES/PRAM1",9
"GO:0002263","cell activation involved in immune response","9/123","305/18870",0.00017588066477004,0.00455413667977889,0.00389282538024354,"FGL2/CORO1A/CD74/SPI1/HLA-DRA/HLA-DMB/HLA-DRB1/FES/PRAM1",9
"GO:0042129","regulation of T cell proliferation","7/123","182/18870",0.000191784951525943,0.0049006102087287,0.00418898709911928,"CORO1A/VSIR/TNFSF13B/HLA-DMB/HLA-DRB1/HLA-DPB1/CCDC88B",7
"GO:0090713","immunological memory process","3/123","18/18870",0.000205307654665658,0.00514681165054229,0.00439943735319269,"FGL2/HLA-DRA/HLA-DRB1",3
"GO:0050864","regulation of B cell activation","6/123","130/18870",0.000209441267416832,0.00514681165054229,0.00439943735319269,"MNDA/CD74/TNFSF13B/SPI1/NFAM1/BST1",6
"GO:1902107","positive regulation of leukocyte differentiation","7/123","185/18870",0.000212021077262298,0.00514681165054229,0.00439943735319269,"VSIR/CD74/SPI1/HLA-DRA/HLA-DRB1/CD4/FES",7
"GO:1903708","positive regulation of hemopoiesis","7/123","185/18870",0.000212021077262298,0.00514681165054229,0.00439943735319269,"VSIR/CD74/SPI1/HLA-DRA/HLA-DRB1/CD4/FES",7
"GO:0002697","regulation of immune effector process","10/123","389/18870",0.000234331943418697,0.00561818066813715,0.00480235834660539,"FCN1/FGL2/CFP/CD74/SPI1/HLA-DRA/HLA-DMB/HLA-DRB1/FES/PRAM1",10
"GO:0002429","immune response-activating cell surface receptor signaling pathway","9/123","318/18870",0.000239803359896699,0.00567730196184048,0.00485289457088321,"FCN1/MNDA/FYB1/HLA-DRB1/PAK1/NFAM1/HLA-DPB1/PRAM1/CSK",9
"GO:0044804","nucleophagy","3/123","19/18870",0.000242644728544161,0.00567730196184048,0.00485289457088321,"ATG3/ATG2A/WDR45",3
"GO:0043410","positive regulation of MAPK cascade","11/123","474/18870",0.000275125572468878,0.00636064121112572,0.00543700536069449,"S100A12/CD74/SPI1/OSM/LRRK2/HLA-DRB1/CD4/NAIP/PAK1/MAP3K3/NRG1",11
"GO:0060326","cell chemotaxis","9/123","325/18870",0.000281542501153551,0.00643241808517878,0.00549835943429288,"S100A9/S100A8/S100A12/RIPOR2/JAML/CORO1A/CD74/SPI1/BST1",9
"GO:0046596","regulation of viral entry into host cell","4/123","49/18870",0.000290315282048795,0.00650596070222057,0.00556122284535847,"FCN1/CD74/HLA-DRB1/CD4",4
"GO:0006959","humoral immune response","8/123","258/18870",0.000291461679244691,0.00650596070222057,0.00556122284535847,"S100A9/LYZ/FCN1/S100A12/CFP/POU2F2/HLA-DRB1/BST1",8
"GO:0002699","positive regulation of immune effector process","8/123","270/18870",0.000394976255908199,0.00862574034925744,0.00737318691028185,"FCN1/CFP/CD74/SPI1/HLA-DRA/HLA-DMB/HLA-DRB1/FES",8
"GO:0050851","antigen receptor-mediated signaling pathway","7/123","205/18870",0.000395309418683786,0.00862574034925744,0.00737318691028185,"MNDA/FYB1/HLA-DRB1/NFAM1/HLA-DPB1/PRAM1/CSK",7
"GO:0001819","positive regulation of cytokine production","11/123","499/18870",0.000424948650407848,0.00916944754546713,0.0078379417741892,"FCN1/CD74/OSM/POU2F2/CASP1/LRRK2/CD4/NAIP/NFAM1/HLA-DPB1/CCDC88B",11
"GO:0045591","positive regulation of regulatory T cell differentiation","3/123","23/18870",0.000435110889055314,0.00928555325874087,0.00793718764650352,"VSIR/HLA-DRA/HLA-DRB1",3
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","9/123","346/18870",0.000444408300057401,0.00938087955121167,0.00801867150103572,"FCN1/MNDA/FYB1/HLA-DRB1/PAK1/NFAM1/HLA-DPB1/PRAM1/CSK",9
"GO:0045619","regulation of lymphocyte differentiation","7/123","212/18870",0.000483361404229836,0.010038477373505,0.00858077880536473,"FGL2/VSIR/CD74/SPI1/HLA-DRA/HLA-DRB1/NFAM1",7
"GO:0052372","modulation by symbiont of entry into host","4/123","56/18870",0.000485899522713424,0.010038477373505,0.00858077880536473,"FCN1/CD74/HLA-DRB1/CD4",4
"GO:0002285","lymphocyte activation involved in immune response","7/123","213/18870",0.000497124317431627,0.0101622676258128,0.00868659333617369,"FGL2/CORO1A/CD74/SPI1/HLA-DRA/HLA-DMB/HLA-DRB1",7
"GO:0042102","positive regulation of T cell proliferation","5/123","105/18870",0.000622627963811309,0.0125952448512663,0.0107662752075706,"CORO1A/TNFSF13B/HLA-DMB/HLA-DPB1/CCDC88B",5
"GO:0002763","positive regulation of myeloid leukocyte differentiation","4/123","60/18870",0.000632304531724902,0.0126591278413377,0.0108208816769416,"CD74/HLA-DRB1/CD4/FES",4
"GO:0001906","cell killing","7/123","223/18870",0.000652702812123768,0.0129341720524934,0.0110559864094434,"LYZ/S100A12/CORO1A/SPI1/HLA-DRA/RNF19B/HLA-DRB1",7
"GO:0046456","icosanoid biosynthetic process","4/123","61/18870",0.000673295623926753,0.0132074757744016,0.011289603391095,"CD74/CASP1/NAIP/TBXAS1",4
"GO:0002685","regulation of leukocyte migration","7/123","230/18870",0.000782932359064037,0.0152045464130236,0.012996677160463,"RIPOR2/CORO1A/CNN2/CD74/SPI1/ITGA4/BST1",7
"GO:0048524","positive regulation of viral process","4/123","64/18870",0.000807537543990727,0.0155271080240593,0.0132723992378674,"CD74/VPS37B/HLA-DRB1/CD4",4
"GO:0030888","regulation of B cell proliferation","4/123","65/18870",0.000856194388993051,0.0161430048876166,0.01379886102649,"MNDA/CD74/TNFSF13B/BST1",4
"GO:0043903","regulation of biological process involved in symbiotic interaction","4/123","65/18870",0.000856194388993051,0.0161430048876166,0.01379886102649,"FCN1/CD74/HLA-DRB1/CD4",4
"GO:0010952","positive regulation of peptidase activity","6/123","170/18870",0.000872148112968848,0.0162856888017837,0.0139208256493105,"S100A9/S100A8/CTSS/VSIR/CASP1/TNFSF10",6
"GO:0051051","negative regulation of transport","10/123","469/18870",0.00100370898103911,0.0185638365826471,0.0158681610335707,"CORO1A/CNN2/CD74/SPI1/CD300LF/OSM/LRRK2/ATG3/NRG1/CSK",10
"GO:0052547","regulation of peptidase activity","8/123","312/18870",0.00101587477436526,0.0186115925643145,0.0159089823155315,"S100A9/S100A8/CTSS/VSIR/SERPINA1/CASP1/TNFSF10/NAIP",8
"GO:0002274","myeloid leukocyte activation","7/123","241/18870",0.00102829349543843,0.0186630464312284,0.015952964508671,"S100A12/CD74/SPI1/CD300LF/LRRK2/FES/PRAM1",7
